name,text
Tess Gallagher,Twitter get your life together I'm not in the mood
Alexa Belvedere,Your fabricating an alternate reality
William Davis,For your information I don't know who you racing. I'm already at the finish-line with the flag waving.
Soraya,No  but seriously. Brock Zanrosso is one of the sexiest men alive  period.
gunnergirl24,when this comes out  mw3 is going inside the antique cabinet! http://t.co/yWLMGEPR
_Jourdashian,Lord Please Tell Me That oomf is not lying to me!!
Isiah Sky Hadnott,The Celtics Balling Out!!!!!!
Brian Esposito,I can't wait to watch @Jessewelle &amp; @PhillyChic5 on @younow -- http://t.co/qwndbirS I want to win the iPad- Wed May 23rd!!!!!!!!!!!!!!!!!
Devon Barlow,need somewhere to watch the game
M A R I  :) ,#NotBeingRudeBut this your 5th time saying hey to me im the same person every time you see me
Im Trillzill .,&amp; Passion ain't going to none of them !
Sarah J. ,why is my twitter not working
Ashley Main,Hope your reading this
SB,I hate wen ppl comment on mu picks talkin bullshit -_-
kenzie sibley ,the cops are fuckin eveerryywheerrre!!!
M A R I  :) ,#NotBeingRudeBut this your 5th time saying hey to me im the same person every time you see me
Im Trillzill .,&amp; Passion ain't going to none of them !
Sarah J. ,why is my twitter not working
NahanDonesBautista,Good thing is.. I now have 2 company I.Ds! Ha ha!
ReiiNa De Tu Vida,A perfect relationship to me = Two people never giving up on each other.
Tess Gallagher,Twitter get your life together I'm not in the mood
Moo Moo,Its wild at this graduation doe lol
Josie Kincaid,I can't reach you.
Ebony Love ,I want man that can sing ! Sooo bad !
gunnergirl24,when this comes out  mw3 is going inside the antique cabinet! http://t.co/yWLMGEPR
_Jourdashian,Lord Please Tell Me That oomf is not lying to me!!
JHL,Did my earlier tweets go through? Boston guy doing flips on the concrete earlier was Chris. #NATO #OccupyBoston
ESpaulding,Shower time 
Clarissa De La Cruz ,Obviously I'm not gonna talk to you for what you did last week ! #thefuck 
FreeMyDAD&BRODashawn,Taisha just farted
M A R I  :) ,#NotBeingRudeBut this your 5th time saying hey to me im the same person every time you see me
Im Trillzill .,&amp; Passion ain't going to none of them !
Sarah J. ,why is my twitter not working
Ashley Main,Hope your reading this
